year,zone_stat,desc_zone,district,area,n_stops,n_lines,avg_distan,tot,tot_F,tot_M,tot_foreig,n_fam,minors,working_age,seniors,stop_coverage,tot_accidents,tot_vehicles_involves,vehicle_categories,n_public_vehicles,public_accidents
2019,48,Lucento,5,1950086.0113205498,60,95,94.65094339622644,24105,13440,12163,3879,12407,3714.0,14815.0,7074.0,0.958306650296518,87.0,165.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",4.0,3.0
2019,49,Parco della Pellerina,5,922521.3662503,7,10,8.649056603773586,1699,1085,984,143,967,236.0,1260.0,573.0,0.125150492766432,12.0,21.0,"['privato_moto', 'privato_vettura', 'pubblico']",1.0,1.0
2019,5,Piazza Statuto,1,532178.2375146699,33,104,43.54723969252271,7794,3980,3790,855,4675,1147.0,4953.0,1670.0,0.531558707646749,93.0,182.0,"['altro', 'bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",9.0,7.0
2019,50,Parella-Lionetto,4,1588501.8209189698,38,66,90.59343116701606,24008,13089,11577,2942,12717,3328.0,15007.0,6331.0,0.266047489181314,63.0,127.0,"['bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'veicoli_grandi']",0.0,0.0
2019,51,Pozzo Strada,3,901880.6227859,24,51,50.725366876310275,16785,9179,7818,1620,8741,2265.0,9707.0,5025.0,0.36925582639600807,57.0,115.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico']",4.0,3.0
2019,52,Parco Ruffini-Borgata Lesna,3,1070511.52221552,19,42,34.97211740041928,11930,6538,5739,1001,6206,1639.0,6903.0,3735.0,0.451698548894298,56.0,116.0,"['altro', 'bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",5.0,4.0
2019,53,Santa Rita,2,844158.2132919899,27,76,53.43480083857443,19757,11100,9555,2381,10820,2686.0,12510.0,5459.0,0.113764858822192,82.0,164.0,"['altro', 'bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico']",1.0,1.0
2019,54,Stadio Olimpico Grande Torino-Piazza d'Armi,1,1028715.5771445901,23,54,27.34185883997205,3052,1644,1451,226,1659,454.0,1841.0,800.0,1.213790321887643,59.0,125.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",1.0,1.0
2019,55,Istituto di Riposo vecchiaia,2,817898.9183587001,22,51,37.893151642208245,16861,9856,8370,1706,9577,2311.0,10586.0,5329.0,0.07195554871590698,60.0,118.0,"['bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",2.0,2.0
2019,56,Mercati Generali,8,1117482.88365361,29,66,55.444933612858144,20581,11034,9765,2937,10616,2965.0,12439.0,5395.0,0.07327393925810399,93.0,196.0,"['altro', 'bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'soccorso', 'veicoli_grandi']",0.0,0.0
2019,57,Molinette-Millefonti,8,1047152.11450738,21,92,36.23584905660377,14258,7538,6712,2731,7488,1898.0,8849.0,3503.0,0.39949664533406,54.0,96.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",6.0,5.0
2019,58,Lingotto-Barriera di Nizza,8,1170460.41170089,34,114,50.863137665967855,12995,7129,6389,2613,6805,1931.0,8300.0,3287.0,1.6044209858980747,87.0,174.0,"['bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",8.0,7.0
2019,59,Corso Siracusa,2,1480182.3333077298,40,106,71.88763102725368,24404,13403,11700,2200,12754,3323.0,14721.0,7059.0,0.332999214415515,138.0,261.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",4.0,4.0
2019,6,Piazza Vittorio Veneto,1,317093.14003243996,16,72,29.22292103424179,4538,2491,2047,364,2547,587.0,2787.0,1164.0,0.10555295025123701,33.0,57.0,"['altro', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",5.0,4.0
2019,60,Fiat Mirafiori,2,938701.8968719299,53,181,60.484900668862934,11472,6164,5291,1584,5779,1624.0,6598.0,3233.0,0.545166944451428,69.0,138.0,"['bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",3.0,3.0
2019,61,Corso Traiano,8,1757792.1992401397,52,176,96.2361006289308,24225,13762,12413,3015,12862,3529.0,15013.0,7633.0,0.861514014244182,151.0,311.0,"['altro', 'bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",6.0,6.0
2019,62,Gerbido,2,2022773.60353159,54,193,66.5120495158231,15081,10000,9102,1376,9109,2629.0,10467.0,6006.0,0.7818303037961949,47.0,103.0,"['altro', 'bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",1.0,1.0
2019,63,Venchi Unica,3,1774854.4480724,21,50,43.76890286512928,18572,9996,9115,2395,9539,2650.0,11759.0,4702.0,0.132544317664825,75.0,163.0,"['altro', 'bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'soccorso', 'veicoli_grandi']",0.0,0.0
2019,64,Aeronautica,4,2003652.68893231,23,49,41.280992313067784,8108,4244,3857,791,3977,1219.0,4711.0,2171.0,0.097254786923568,37.0,71.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'veicoli_grandi']",0.0,0.0
2019,65,Le Vallette,5,4256378.322053699,70,144,50.128476589797344,10372,6668,6628,1333,6374,1827.0,8150.0,3319.0,0.9947304021892989,76.0,145.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",4.0,3.0
2019,66,Strada di Lanzo,5,2406736.55344329,27,58,44.30510132774284,7579,4159,3823,1087,3765,1264.0,4860.0,1858.0,0.285110335371797,36.0,84.0,"['privato_moto', 'privato_vettura', 'pubblico', 'soccorso', 'veicoli_grandi']",4.0,3.0
2019,67,Basse di Stura,5,1586624.2567684401,13,39,18.370649895178197,2177,1145,1114,329,1018,345.0,1220.0,694.0,0.290694648891553,25.0,52.0,"['altro', 'bicicletta', 'privato_moto', 'privato_vettura', 'veicoli_grandi']",0.0,0.0
2019,68,Barriera di Stura,6,2028130.51781196,26,71,29.144060097833684,8363,4642,4314,1228,4123,1327.0,5194.0,2435.0,0.324361934529029,75.0,147.0,"['bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",4.0,4.0
2019,69,Fioccardo,8,1002955.5853173999,11,22,16.989098532494758,2023,1064,954,152,999,284.0,1206.0,528.0,0.15730036420204,8.0,21.0,"['altro', 'privato_moto', 'privato_vettura']",0.0,0.0
2019,7,Borgo Nuovo,1,310398.28933130007,17,73,27.04842767295597,5046,2703,2338,520,2884,683.0,3243.0,1115.0,0.079727313901396,33.0,64.0,"['bicicletta', 'polizia', 'privato_moto', 'privato_vettura', 'pubblico', 'veicoli_grandi']",3.0,3.0
2019,70,Pilonetto,8,1287785.6044759802,20,43,26.642872117400422,2640,1407,1221,224,1361,386.0,1554.0,688.0,0.187896145734541,28.0,61.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'pubblico', 'soccorso']",3.0,3.0
2019,71,Madonna del Pilone,7,360026.02234647004,13,33,20.50614954577219,2023,1114,909,171,1087,297.0,1251.0,475.0,0.163723901524773,18.0,42.0,"['bicicletta', 'privato_moto', 'privato_vettura', 'veicoli_grandi']",0.0,0.0
2019,72,Sassi,7,1484219.27209842,31,58,34.40531097134871,3180,1692,1480,224,1529,467.0,1940.0,765.0,0.933971091328077,22.0,38.0,"['privato_moto', 'privato_vettura', 'veicoli_grandi']",0.0,0.0
2019,73,Valgrande-Cartman,7,1730279.4193599997,15,24,4.64916142557652,1142,545,597,154,598,179.0,690.0,273.0,0.22002523532740997,6.0,11.0,"['privato_moto', 'privato_vettura']",0.0,0.0
2019,74,Val Piana-Val San Martino,7,2557018.9608770004,15,22,15.888679245283019,2206,1183,1023,320,1163,387.0,1294.0,525.0,0.050388686077588,3.0,5.0,"['altro', 'privato_vettura']",0.0,0.0
